year,category,query,location,rank
2002,Video Games,The Sims,Global,1
2002,Video Games,Counter Strike,Global,2
2002,Video Games,GTA 3,Global,3
2002,Video Games,Warcraft 3,Global,4
2002,Video Games,Jedi Knight 2,Global,5
2002,Women,Britney Spears,Global,1
2002,Women,Pamela Anderson,Global,2
2002,Women,Jennifer Lopez,Global,3
2002,Women,Shakira,Global,4
2002,Women,Anna Kournikova,Global,5
2003,Anime Images,Manga,Global,1
2003,Anime Images,Final Fantasy,Global,2
2003,Anime Images,Sailor Moon,Global,3
2003,Anime Images,Yu-Gi-Oh!,Global,4
2003,Anime Images,Dragon Ball Z,Global,5
2003,Consumer Brands,Ferrari,Global,1
2003,Consumer Brands,Sony,Global,2
2003,Consumer Brands,BMW,Global,3
2003,Consumer Brands,Disney,Global,4
2003,Consumer Brands,Ryanair,Global,5
2003,Earthquake Searches,Earthquake,Global,1
2003,Earthquake Searches,California Earthquake,Global,2
2003,Earthquake Searches,Earthquakes,Global,3
2003,Earthquake Searches,Earthquake California,Global,4
2003,Earthquake Searches,California Earthquakes,Global,5
2003,Fictional Character Images,The Simpsons,Global,1
2003,Fictional Character Images,Harry Potter,Global,2
2003,Fictional Character Images,Pokémon,Global,3
2003,Fictional Character Images,Spiderman,Global,4
2003,Fictional Character Images,Winnie the Pooh,Global,5
2003,Male Celebrity Images,Eminem,Global,1
2003,Male Celebrity Images,David Beckham,Global,2
2003,Male Celebrity Images,Orlando Bloom,Global,3
2003,Male Celebrity Images,Justin Timberlake,Global,4
2003,Male Celebrity Images,50 Cent,Global,5
2003,News Searches,Iraq,Global,1
2003,News Searches,Laci Peterson,Global,2
2003,News Searches,Kobe Bryant,Global,3
2003,News Searches,Bertrand Cantat,Global,4
2003,News Searches,RIAA,Global,5
2003,Searches,Britney Spears,Global,1
2003,Searches,Harry Potter,Global,2
2003,Searches,Matrix,Global,3
2003,Searches,Shakira,Global,4
2003,Searches,David Beckham,Global,5
2004,Car Images,Ferrari,Global,1
2004,Car Images,BMW,Global,2
2004,Car Images,Lamborghini,Global,3
2004,Car Images,Nissan Skyline,Global,4
2004,Car Images,Porsche,Global,5
2004,Cartoons Images,The Simpsons,Global,1
2004,Cartoons Images,Pokémon,Global,2
2004,Cartoons Images,South Park,Global,3
2004,Cartoons Images,Garfield,Global,4
2004,Cartoons Images,Hello Kitty,Global,5
2004,Companies,SCO,Global,1
2004,Companies,Johnson & Johnson,Global,2
2004,Companies,ING,Global,3
2004,Companies,GE Aviation,Global,4
2004,Companies,Fleet,Global,5
2004,Consumer Brands,eBay,Global,1
2004,Consumer Brands,Walmart,Global,2
2004,Consumer Brands,MapQuest,Global,3
2004,Consumer Brands,Amazon,Global,4
2004,Consumer Brands,Home Depot,Global,5
2004,Countries,France,Global,1
2004,Countries,China,Global,2
2004,Countries,India,Global,3
2004,Countries,Iraq,Global,4
2004,Countries,Iran,Global,5
2004,Deaths of 2004,Nicholas Berg,Global,1
2004,Deaths of 2004,Christopher Reeve,Global,2
2004,Deaths of 2004,Spalding Gray,Global,3
2004,Deaths of 2004,Marlon Brando,Global,4
2004,Deaths of 2004,Kenneth Bigley,Global,5
2004,Entertainment,Spa,Global,1
2004,Entertainment,Movies,Global,2
2004,Entertainment,Nightclub,Global,3
2004,Entertainment,Pub,Global,4
2004,Entertainment,Zoo,Global,5
2004,Female Celebrity Images,Britney Spears,Global,1
2004,Female Celebrity Images,Christina Aguilera,Global,2
2004,Female Celebrity Images,Pamela Anderson,Global,3
2004,Female Celebrity Images,Paris Hilton,Global,4
2004,Female Celebrity Images,Carmen Electra,Global,5
2004,Foods,Pizza,Global,1
2004,Foods,Sushi,Global,2
2004,Foods,Bakery,Global,3
2004,Foods,Chinese,Global,4
2004,Foods,Italian,Global,5
2004,Froogle Brand Searches,Louis Vuitton,Global,1
2004,Froogle Brand Searches,Nikon,Global,2
2004,Froogle Brand Searches,Canon,Global,3
2004,Froogle Brand Searches,Treo,Global,4
2004,Froogle Brand Searches,Tiffany,Global,5
2004,Froogle Clothing Searches,Bikini,Global,1
2004,Froogle Clothing Searches,Mini Skirt,Global,2
2004,Froogle Clothing Searches,Prom Dresses,Global,3
2004,Froogle Clothing Searches,Lingerie,Global,4
2004,Froogle Clothing Searches,Little Black Dress,Global,5
2004,Froogle Computer Goods Searches,Tablet PC,Global,1
2004,Froogle Computer Goods Searches,Computer,Global,2
2004,Froogle Computer Goods Searches,Laptop,Global,3
2004,Froogle Computer Goods Searches,Headphones,Global,4
2004,Froogle Computer Goods Searches,Computer Speakers,Global,5
2004,Froogle Electronics Searches,iPod,Global,1
2004,Froogle Electronics Searches,Digital Camera,Global,2
2004,Froogle Electronics Searches,MP3,Global,3
2004,Froogle Electronics Searches,Xbox,Global,4
2004,Froogle Electronics Searches,PlayStation 2,Global,5
2004,Froogle Hobby Searches,Poker Chips,Global,1
2004,Froogle Hobby Searches,Airsoft Guns,Global,2
2004,Froogle Hobby Searches,Mountain Bike,Global,3
2004,Froogle Hobby Searches,Pocket Bike,Global,4
2004,Froogle Hobby Searches,Night Vision Goggles,Global,5
2004,Froogle Shoe Searches,UGG Boots,Global,1
2004,Froogle Shoe Searches,Puma,Global,2
2004,Froogle Shoe Searches,Adidas,Global,3
2004,Froogle Shoe Searches,Nike,Global,4
2004,Froogle Shoe Searches,Aerosole,Global,5
2004,Health Services,Doctor,Global,1
2004,Health Services,Hospital,Global,2
2004,Health Services,Massage,Global,3
2004,Health Services,Dentist,Global,4
2004,Health Services,Yoga,Global,5
2004,Hotel Chains,Holiday Inn,Global,1
2004,Hotel Chains,Hampton Inn,Global,2
2004,Hotel Chains,Marriott,Global,3
2004,Hotel Chains,Hilton,Global,4
2004,Hotel Chains,Days Inn,Global,5
2004,Male Celebrity Images,Orlando Bloom,Global,1
2004,Male Celebrity Images,Eminem,Global,2
2004,Male Celebrity Images,Usher,Global,3
2004,Male Celebrity Images,Johnny Depp,Global,4
2004,Male Celebrity Images,Brad Pitt,Global,5
2004,Men,Orlando Bloom,Global,1
2004,Men,Eminem,Global,2
2004,Men,Usher,Global,3
2004,Men,Johnny Depp,Global,4
2004,Men,Brad Pitt,Global,5
2004,News Outlets,CNN,Global,1
2004,News Outlets,Washington Post,Global,2
2004,News Outlets,BBC,Global,3
2004,News Outlets,Fox News,Global,4
2004,News Outlets,New York Times,Global,5
2004,Professional Services,Real Estate,Global,1
2004,Professional Services,Attorney,Global,2
2004,Professional Services,Insurance Broker,Global,3
2004,Professional Services,Car Dealer,Global,4
2004,Professional Services,Hair Salon,Global,5
2004,Public Figures,George W. Bush,Global,1
2004,Public Figures,Janet Jackson,Global,2
2004,Public Figures,John Kerry,Global,3
2004,Public Figures,Britney Spears,Global,4
2004,Public Figures,Saddam Hussein,Global,5
2004,Retail Chains,Walmart,Global,1
2004,Retail Chains,Home Depot,Global,2
2004,Retail Chains,Best Buy,Global,3
2004,Retail Chains,Costco,Global,4
2004,Retail Chains,Walgreens,Global,5
2004,Searches,Britney Spears,Global,1
2004,Searches,Paris Hilton,Global,2
2004,Searches,Christina Aguilera,Global,3
2004,Searches,Pamela Anderson,Global,4
2004,Searches,Chat,Global,5
2004,Sports,David Beckham,Global,1
2004,Sports,Tour de France,Global,2
2004,Sports,Euro 2004,Global,3
2004,Sports,NBA,Global,4
2004,Sports,Lance Armstrong,Global,5
2004,Sports Services,YMCA,Global,1
2004,Sports Services,Golf,Global,2
2004,Sports Services,Campground,Global,3
2004,Sports Services,Bowling,Global,4
2004,Sports Services,Marathon,Global,5
2004,TV Shows,The Simpsons,Global,1
2004,TV Shows,Pokémon,Global,2
2004,TV Shows,South Park,Global,3
2004,TV Shows,Charmed,Global,4
2004,TV Shows,SpongeBob SquarePants,Global,5
2004,Technology,Wallpaper,Global,1
2004,Technology,Kazaa,Global,2
2004,Technology,MP3,Global,3
2004,Technology,Spybot,Global,4
2004,Technology,Linux,Global,5
2004,Women,Britney Spears,Global,1
2004,Women,Paris Hilton,Global,2
2004,Women,Christina Aguilera,Global,3
2004,Women,Pamela Anderson,Global,4
2004,Women,Carmen Electra,Global,5
2005,Froogle Searches,iPod,Global,1
2005,Froogle Searches,Digital Camera,Global,2
2005,Froogle Searches,MP3 Player,Global,3
2005,Froogle Searches,iPod Mini,Global,4
2005,Froogle Searches,PlayStation Portable,Global,5
2005,Most Searched,Janet Jackson,Global,1
2005,Most Searched,Hurricane Katrina,Global,2
2005,Most Searched,Tsunami,Global,3
2005,Most Searched,Xbox 360,Global,4
2005,Most Searched,Brad Pitt,Global,5
2006,Deaths of 2006,Aaron Spelling,Global,1
2006,Deaths of 2006,Kirby Puckett,Global,2
2006,Deaths of 2006,Jack Wild,Global,3
2006,Deaths of 2006,Clifford Geertz,Global,4
2006,Deaths of 2006,Muriel Spark,Global,5
2006,Define...,Define Promiscuous,Global,1
2006,Define...,Define Web 2.0,Global,2
2006,Define...,Define FTW,Global,3
2006,Define...,Define Calidad,Global,4
2006,Define...,Define Ajax,Global,5
2006,Divorces,Paul McCartney and Heather Mills,Global,1
2006,Divorces,Travis Barker and Shanna Moakler,Global,2
2006,Divorces,Britney Spears and Kevin Federline,Global,3
2006,Divorces,Whitney Houston and Bobby Brown,Global,4
2006,Divorces,Eminem and Kim Mathers,Global,5
2006,How to...,How to Refinance,Global,1
2006,How to...,Wiki How To,Global,2
2006,How to...,How to Drift,Global,3
2006,How to...,How to Podcast,Global,4
2006,How to...,How to Scream,Global,5
2006,Jerseys,World Cup Jerseys,Global,1
2006,Jerseys,Zidane Jersey,Global,2
2006,Jerseys,Buffalo Sabres Jersey,Global,3
2006,Jerseys,Ronaldinho Jersey,Global,4
2006,Jerseys,Italy Jersey,Global,5
2006,Most Searched,Bebo,Global,1
2006,Most Searched,Myspace,Global,2
2006,Most Searched,World Cup,Global,3
2006,Most Searched,Metacafe,Global,4
2006,Most Searched,Radioblog,Global,5
2006,News Searches,Paris Hilton,Global,1
2006,News Searches,Orlando Bloom,Global,2
2006,News Searches,Cancer,Global,3
2006,News Searches,Podcasting,Global,4
2006,News Searches,Hurricane Katrina,Global,5
2006,Retirements,Bob Barker,Global,1
2006,Retirements,Bobby Bowden,Global,2
2006,Retirements,Sammy Sosa,Global,3
2006,Retirements,Tiki Barber,Global,4
2006,Retirements,Bill Gates,Global,5
2006,Weddings,Nicole Kidman and Keith Urban,Global,1
2006,Weddings,Tom Cruise and Katie Holmes,Global,2
2006,Weddings,Avril Lavigne and Deryck Whibley,Global,3
2006,Weddings,Campbell Brown and Dan Senor,Global,4
2006,Weddings,TomKat Wedding Photos,Global,5
2006,What is...,What is Hezbollah,Global,1
2006,What is...,What is Carisoprodol,Global,2
2006,What is...,What is Acyclovir,Global,3
2006,What is...,What is Alprazolam,Global,4
2006,What is...,What is Tramadol,Global,5
2006,Where is...,Where is Togo,Global,1
2006,Where is...,Where is Matt,Global,2
2006,Where is...,Where is Torino,Global,3
2006,Where is...,Where is Darfur,Global,4
2006,Where is...,Where is Villanova,Global,5
2006,Who is...,Who is Borat,Global,1
2006,Who is...,Who is Hezbollah,Global,2
2006,Who is...,Who is EU,Global,3
2006,Who is...,Who is Hot,Global,4
2006,Who is...,Who is Capote,Global,5
2007,News Searches,American Idol,Global,1
2007,News Searches,YouTube,Global,2
2007,News Searches,Britney Spears,Global,3
2007,News Searches,2007 Cricket World Cup,Global,4
2007,News Searches,Chris Benoit,Global,5
2008,Campaign Buzzwords,Joe The Plumber,Global,1
2008,Campaign Buzzwords,Jeremiah Wright,Global,2
2008,Campaign Buzzwords,Maverick,Global,3
2008,Campaign Buzzwords,William Ayers,Global,4
2008,Campaign Buzzwords,Bridge To Nowhere,Global,5
2008,Cocktails,Martini,Global,1
2008,Cocktails,Mojito,Global,2
2008,Cocktails,Margarita,Global,3
2008,Cocktails,Manhattan,Global,4
2008,Cocktails,Cosmopolitan,Global,5
2008,Comfort Foods,Ice Cream,Global,1
2008,Comfort Foods,Chili,Global,2
2008,Comfort Foods,Spaghetti,Global,3
2008,Comfort Foods,Meatloaf,Global,4
2008,Comfort Foods,Fried Chicken,Global,5
2008,Concerts,Jonas Brothers,Global,1
2008,Concerts,Coldplay,Global,2
2008,Concerts,Hannah Montana,Global,3
2008,Concerts,Kenny Chesney,Global,4
2008,Concerts,Carrie Underwood,Global,5
2008,DIY,DIY Wedding,Global,1
2008,DIY,DIY TV,Global,2
2008,DIY,DIY Solar,Global,3
2008,DIY,DIY Tile,Global,4
2008,DIY,DIY Audio,Global,5
2008,Deaths of 2008,Heath Ledger,Global,1
2008,Deaths of 2008,Bernie Mac,Global,2
2008,Deaths of 2008,Tim Russert,Global,3
2008,Deaths of 2008,Isaac Hayes,Global,4
2008,Deaths of 2008,George Carlin,Global,5
2008,How To...,How To Draw,Global,1
2008,How To...,How To Kiss,Global,2
2008,How To...,How To Write,Global,3
2008,How To...,How To Cook,Global,4
2008,How To...,How To Tie,Global,5
2008,It's All Over Now,Hugh Hefner & Holly Madison,Global,1
2008,It's All Over Now,Danity Kane,Global,2
2008,It's All Over Now,Jennifer Aniston & John Mayer,Global,3
2008,It's All Over Now,Taylor Swift & Joe Jonas,Global,4
2008,It's All Over Now,Jessica Simpson & Tony Romo,Global,5
2008,Lyrics,With You,Global,1
2008,Lyrics,My Life,Global,2
2008,Lyrics,Love Song,Global,3
2008,Lyrics,Lollipop,Global,4
2008,Lyrics,Low,Global,5
2008,MLB,Boston Red Sox,Global,1
2008,MLB,New York Yankees,Global,2
2008,MLB,Chicago Cubs,Global,3
2008,MLB,Philadelphia Phillies,Global,4
2008,MLB,New York Mets,Global,5
2008,Mascots,Olympic Mascot,Global,1
2008,Mascots,Georgia Mascot,Global,2
2008,Mascots,Tennessee Mascot,Global,3
2008,Mascots,Ohio State Mascot,Global,4
2008,Mascots,Phillies Mascot,Global,5
2008,Movie Trailers,Dark Knight,Global,1
2008,Movie Trailers,Iron Man,Global,2
2008,Movie Trailers,Hulk,Global,3
2008,Movie Trailers,Star Wars,Global,4
2008,Movie Trailers,Indiana Jones,Global,5
2008,NBA Teams,Los Angeles Lakers,Global,1
2008,NBA Teams,Boston Celtics,Global,2
2008,NBA Teams,Phoenix Suns,Global,3
2008,NBA Teams,New York Knicks,Global,4
2008,NBA Teams,Detroit Pistons,Global,5
2008,NFL Teams,New York Giants,Global,1
2008,NFL Teams,Dallas Cowboys,Global,2
2008,NFL Teams,New England Patriots,Global,3
2008,NFL Teams,Pittsburgh Steelers,Global,4
2008,NFL Teams,Green Bay Packers,Global,5
2008,NHL Teams,Detroit Red Wings,Global,1
2008,NHL Teams,Pittsburgh Penguins,Global,2
2008,NHL Teams,Buffalo Sabres,Global,3
2008,NHL Teams,Philadelphia Flyers,Global,4
2008,NHL Teams,Boston Bruins,Global,5
2008,Olympic Sports,Gymnastics,Global,1
2008,Olympic Sports,Swimming,Global,2
2008,Olympic Sports,Soccer,Global,3
2008,Olympic Sports,Tennis,Global,4
2008,Olympic Sports,Basketball,Global,5
2008,Political News Sources,Fox,Global,1
2008,Political News Sources,CNN,Global,2
2008,Political News Sources,ABC,Global,3
2008,Political News Sources,CBS,Global,4
2008,Political News Sources,MSNBC,Global,5
2008,Reality Shows,American Idol,Global,1
2008,Reality Shows,Big Brother,Global,2
2008,Reality Shows,Dancing with the Stars,Global,3
2008,Reality Shows,So You Think You Can Dance,Global,4
2008,Reality Shows,The Hills,Global,5
2008,Rivalries,Red River Rivalry,Global,1
2008,Rivalries,Michigan Ohio State Rivalry,Global,2
2008,Rivalries,Red Sox Yankees Rivalry,Global,3
2008,Rivalries,Lakers Celtics Rivalry,Global,4
2008,Rivalries,Georgia Auburn Rivalry,Global,5
2008,Soccer Teams,Manchester United F.C.,Global,1
2008,Soccer Teams,Chelsea F.C.,Global,2
2008,Soccer Teams,Chivas,Global,3
2008,Soccer Teams,FC Barcelona,Global,4
2008,Soccer Teams,Arsenal F.C.,Global,5
2008,Social Networks,Facebook,Global,1
2008,Social Networks,Myspace,Global,2
2008,Social Networks,Hi5,Global,3
2008,Social Networks,Orkut,Global,4
2008,Social Networks,LinkedIn,Global,5
2008,TV Shows,American Idol,Global,1
2008,TV Shows,Lost,Global,2
2008,TV Shows,SNL,Global,3
2008,TV Shows,The Office,Global,4
2008,TV Shows,Family Guy,Global,5
2008,What Is...,What is Love,Global,1
2008,What Is...,What is Life,Global,2
2008,What Is...,What is Java,Global,3
2008,What Is...,What is SAP,Global,4
2008,What Is...,What is RSS,Global,5
2008,Who is...,Who is Obama,Global,1
2008,Who is...,Who is McCain,Global,2
2008,Who is...,Who is Palin,Global,3
2008,Who is...,Who is Lil Wayne,Global,4
2008,Who is...,Who is Miley Cyrus,Global,5
2009,Entertainment,Michael Jackson,Global,1
2009,Entertainment,Transformers,Global,2
2009,Entertainment,Eminem,Global,3
2009,Entertainment,Naruto Shippuden,Global,4
2009,Entertainment,Beyoncé,Global,5
2009,Events: Fastest Rising Searches,VMAs,Global,1
2009,Events: Fastest Rising Searches,International Society Of Transport Aircraft Trading,Global,2
2009,Events: Fastest Rising Searches,Delhi Sustainable Development Summit,Global,3
2009,Events: Fastest Rising Searches,BBC Proms,Global,4
2009,Events: Fastest Rising Searches,EuroChocolate,Global,5
2009,Fastest Falling,Beijing 2008,Global,1
2009,Fastest Falling,Euro 2008,Global,2
2009,Fastest Falling,Heath Ledger,Global,3
2009,Fastest Falling,Barack Obama,Global,4
2009,Fastest Falling,Amy Winehouse,Global,5
2009,Fastest Rising,Michael Jackson,Global,1
2009,Fastest Rising,Facebook,Global,2
2009,Fastest Rising,Tuenti,Global,3
2009,Fastest Rising,Twitter,Global,4
2009,Fastest Rising,Sanalika,Global,5
2009,Fastest Rising Searches: First Half of 2009,Eurovision 2009,Global,1
2009,Fastest Rising Searches: First Half of 2009,Susan Boyle,Global,2
2009,Fastest Rising Searches: First Half of 2009,Jade Goody,Global,3
2009,Fastest Rising Searches: First Half of 2009,Lady Gaga,Global,4
2009,Fastest Rising Searches: First Half of 2009,Robert Pattinson,Global,5
2009,Fastest Rising Searches: Second Half of 2009,Win For Life,Global,1
2009,Fastest Rising Searches: Second Half of 2009,FIFA 10,Global,2
2009,Fastest Rising Searches: Second Half of 2009,Secret Story 3,Global,3
2009,Fastest Rising Searches: Second Half of 2009,Facebook,Global,4
2009,Fastest Rising Searches: Second Half of 2009,Schweinegrippe,Global,5
2009,Festivals: Fastest Rising Searches,Sonnenrot Festival,Global,1
2009,Festivals: Fastest Rising Searches,Festival Sudoeste,Global,2
2009,Festivals: Fastest Rising Searches,Festival Di Venezia,Global,3
2009,Festivals: Fastest Rising Searches,Coca Cola Zero Fest,Global,4
2009,Festivals: Fastest Rising Searches,Lesbian Film Festival,Global,5
2009,Food and Drink,Acai Berry,Global,1
2009,Food and Drink,Picnic,Global,2
2009,Food and Drink,COOKPAD,Global,3
2009,Food and Drink,Tesco Direct,Global,4
2009,Food and Drink,Senseo,Global,5
2009,Looking to Buy Online: Fastest Rising Searches,Windows 7,Global,1
2009,Looking to Buy Online: Fastest Rising Searches,Tamiflu,Global,2
2009,Looking to Buy Online: Fastest Rising Searches,Alli,Global,3
2009,Looking to Buy Online: Fastest Rising Searches,Nokia N97,Global,4
2009,Looking to Buy Online: Fastest Rising Searches,LightScribe,Global,5
2009,Mobile Application Searches: Fastest Rising,YouTube App,Global,1
2009,Mobile Application Searches: Fastest Rising,Facebook App,Global,2
2009,Mobile Application Searches: Fastest Rising,IPlayer App,Global,3
2009,Mobile Application Searches: Fastest Rising,Google Maps App,Global,4
2009,Mobile Application Searches: Fastest Rising,Twitter App,Global,5
2009,News Searches: Fastest Rising,Ted Kennedy,Global,1
2009,News Searches: Fastest Rising,Twitter Tips,Global,2
2009,News Searches: Fastest Rising,Jade Goody,Global,3
2009,News Searches: Fastest Rising,Gad Elmaleh,Global,4
2009,News Searches: Fastest Rising,Chris Brown,Global,5
2009,People: Fastest Rising,Jade Goody,Global,1
2009,People: Fastest Rising,Lady Gaga,Global,2
2009,People: Fastest Rising,Michael Jackson,Global,3
2009,People: Fastest Rising,Robert Pattinson,Global,4
2009,People: Fastest Rising,Megan Fox,Global,5
2009,Searches Related to Economy: Fastest Rising,Irish Economy 2009,Global,1
2009,Searches Related to Economy: Fastest Rising,Indian Economy 2009,Global,2
2009,Searches Related to Economy: Fastest Rising,Nobel Prize Economia 2009,Global,3
2009,Searches Related to Economy: Fastest Rising,UK Economy 2009,Global,4
2009,Searches Related to Economy: Fastest Rising,Energy Economy,Global,5
2009,Sports,Real Madrid,Global,1
2009,Sports,US Open,Global,2
2009,Sports,UFC,Global,3
2009,Sports,Sahadan,Global,4
2009,Sports,LiveScore,Global,5
2010,Consumer Electronics,iPad,Global,1
2010,Consumer Electronics,iPhone 4,Global,2
2010,Consumer Electronics,Nokia 5530,Global,3
2010,Consumer Electronics,HTC EVO 4g,Global,4
2010,Consumer Electronics,Nokia N900,Global,5
2010,Entertainment,Justin Bieber,Global,1
2010,Entertainment,Shakira,Global,2
2010,Entertainment,Eminem,Global,3
2010,Entertainment,Netflix,Global,4
2010,Entertainment,YouTube,Global,5
2010,Falling Searches,Swine Flu,Global,1
2010,Falling Searches,WaMu,Global,2
2010,Falling Searches,New Moon,Global,3
2010,Falling Searches,Mininova,Global,4
2010,Falling Searches,Susan Boyle,Global,5
2010,Food & Drink,MasterChef,Global,1
2010,Food & Drink,食べログ,Global,2
2010,Food & Drink,Cupcakes,Global,3
2010,Food & Drink,Jimmy Johns,Global,4
2010,Food & Drink,Kак жрать суши,Global,5
2010,Health,HCG diet,Global,1
2010,Health,Dr. Oz,Global,2
2010,Health,Aspergers,Global,3
2010,Health,McDonald's nutrition,Global,4
2010,Health,Vitamin D Deficiency,Global,5
2010,Humanitarian Aid,Donate to Haiti,Global,1
2010,Humanitarian Aid,Donate to Pakistan,Global,2
2010,Humanitarian Aid,Text to donate,Global,3
2010,Humanitarian Aid,Doctors Without Borders,Global,4
2010,Humanitarian Aid,Download to Donate,Global,5
2010,Maps Searches,Anhembi Parque,Global,1
2010,Maps Searches,WM Gucken,Global,2
2010,Maps Searches,World Cup,Global,3
2010,Maps Searches,Bundeskanzleramt,Global,4
2010,Maps Searches,Rio Branco,Global,5
2010,People,Justin Bieber,Global,1
2010,People,Katy Perry,Global,2
2010,People,Selena Gomez,Global,3
2010,People,Kim Kardashian,Global,4
2010,People,Eminem,Global,5
2010,Sports,Mundial 2010,Global,1
2010,Sports,Olympics,Global,2
2010,Sports,ESPN3,Global,3
2010,Sports,FIFA 11,Global,4
2010,Sports,Randy Moss,Global,5
2010,Top Trending,Chatroulette,Global,1
2010,Top Trending,iPad,Global,2
2010,Top Trending,Justin Bieber,Global,3
2010,Top Trending,Nicki Minaj,Global,4
2010,Top Trending,Friv,Global,5
2011,Consumer Electronics,Amazon Kindle Fire,Global,1
2011,Consumer Electronics,iPhone 4s,Global,2
2011,Consumer Electronics,Sidekick 4g,Global,3
2011,Consumer Electronics,Hp Touchpad,Global,4
2011,Consumer Electronics,Spb Shell 3d,Global,5
2011,Entertainment,Rebecca Black,Global,1
2011,Entertainment,Ryan Dunn Dead,Global,2
2011,Entertainment,Price Tag Lyrics,Global,3
2011,Entertainment,Amy Winehouse Death,Global,4
2011,Entertainment,Super Bass Lyrics,Global,5
